epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6586,1.95587,2.93468,1.75402,0.5791,0.23732,0.30109,0.17656,1.89324,2.3885,1.61612,2.023e-05,2.023e-05,2.023e-05
2,93.2861,1.85796,2.58671,1.69501,0.43817,0.31301,0.33918,0.18723,1.87709,2.13944,1.58731,3.75266e-05,3.75266e-05,3.75266e-05
3,139.478,1.76198,2.49732,1.62192,0.59865,0.29454,0.37185,0.21275,1.85431,2.04229,1.54915,5.05821e-05,5.05821e-05,5.05821e-05
4,185.566,1.74174,2.36153,1.62877,0.53679,0.30238,0.37703,0.20947,1.84424,2.07007,1.53511,5.93965e-05,5.93965e-05,5.93965e-05
5,231.086,1.68593,2.29957,1.58264,0.50359,0.30236,0.38708,0.21031,1.84845,2.08648,1.53667,6.39696e-05,6.39696e-05,6.39696e-05
6,278.436,1.68642,2.15133,1.56402,0.54949,0.32265,0.38491,0.20927,1.86434,2.07527,1.53481,6.0095e-05,6.0095e-05,6.0095e-05
7,324.686,1.67654,2.13007,1.5447,0.46641,0.36087,0.39359,0.21744,1.86531,2.07999,1.53216,4.8314e-05,4.8314e-05,4.8314e-05
8,378.34,1.57465,2.02887,1.46641,0.4803,0.33178,0.39094,0.22348,1.87119,2.09922,1.53769,3.6533e-05,3.6533e-05,3.6533e-05
9,429.008,1.57596,1.98055,1.47344,0.47655,0.3439,0.38715,0.21795,1.85281,2.0807,1.53027,2.4752e-05,2.4752e-05,2.4752e-05
10,476.265,1.63947,2.03543,1.53596,0.51386,0.33816,0.39359,0.21481,1.85792,2.05441,1.52433,1.2971e-05,1.2971e-05,1.2971e-05
